# run id	ion theta	ion phi	initial x position	initial y position	initial/final z position	initial velocity	initial x velocity	initial y velocity	initial z velocity
# -	deg	deg	Å	Å	Å	Å/ps	Å/ps	Å/ps	Å/ps
run_id	theta	phi	x0	y0	z	v	vx	vy	vz	shift_x	shift_y
1	0.000000000	140.316849842	-0.000000000	0.000000000	8.000000000	536.137938636	0.000000000	-0.000000000	-536.137938636	-0.035319285	0.156605182
2	0.000000000	63.716913330	0.000000000	0.000000000	8.000000000	536.137938636	-0.000000000	-0.000000000	-536.137938636	-0.054391325	-0.022925894
3	0.000000000	168.823810418	-0.000000000	0.000000000	8.000000000	536.137938636	0.000000000	-0.000000000	-536.137938636	0.462457211	-0.452462281
4	0.000000000	77.072494304	0.000000000	0.000000000	8.000000000	536.137938636	-0.000000000	-0.000000000	-536.137938636	0.497808430	0.374883980
5	0.000000000	131.000433256	-0.000000000	0.000000000	8.000000000	536.137938636	0.000000000	-0.000000000	-536.137938636	0.367144354	0.227106450
6	0.000000000	36.959248728	0.000000000	0.000000000	8.000000000	536.137938636	-0.000000000	-0.000000000	-536.137938636	-0.433519674	-0.064207863
7	0.000000000	9.787308386	0.000000000	0.000000000	8.000000000	536.137938636	-0.000000000	-0.000000000	-536.137938636	0.411176600	-0.481494151
8	0.000000000	70.061831298	0.000000000	0.000000000	8.000000000	536.137938636	-0.000000000	-0.000000000	-536.137938636	0.129882031	-0.051837066
9	0.000000000	125.641662683	-0.000000000	0.000000000	8.000000000	536.137938636	0.000000000	-0.000000000	-536.137938636	-0.006577569	0.125467696
10	0.000000000	134.383800049	-0.000000000	0.000000000	8.000000000	536.137938636	0.000000000	-0.000000000	-536.137938636	0.228357257	0.251004480
11	0.000000000	77.349767936	0.000000000	0.000000000	8.000000000	536.137938636	-0.000000000	-0.000000000	-536.137938636	-0.335086749	-0.354215166
12	0.000000000	107.271835933	-0.000000000	0.000000000	8.000000000	536.137938636	0.000000000	-0.000000000	-536.137938636	0.485389643	-0.240176432
